"gene_symbol","RankMetric_GSE104645","RankMetric_GSE28702","RankMetric_GSE39582","RankMetric_GSE69657","RankMetric_GSE72970","N_datasets","MetaRankMetric"
"ZNF543",-0.506022198282134,-0.497514246606,-0.0506628548832341,-1.33229714356143,0.19658461987003,5,-0.437982364692553
"RRAD",0.61801179369761,1.4800458507096,-0.990267329438234,-2.30006224418286,-0.997968858928949,5,-0.438048157628568
"APLF",-0.547815607624123,-1.52861553890957,-0.801687614476807,0.946503584457838,-0.258723470215413,5,-0.438067729353615
"B3GNT3",0.213289069894799,-1.27448733352851,-0.285935392660994,0.643929758988591,-1.48807057325236,5,-0.438254894111695
"SCAMP5",0.233170722772258,-0.960944435621267,0.208951287493325,-0.853526005552396,-0.819395948695615,5,-0.438348875920739
"TMEM203",-0.00519060118450766,-0.219311653371384,-1.57405299518998,-0.476495418231445,0.0826285664926644,5,-0.438484420296931
"SSU72P8 /// SSU72P8",NA,0.145103447323481,-1.03214334562845,-0.345805060801995,-0.52116331924402,4,-0.438502069587745
"APOBR",-0.499577160292102,-0.776917793891506,-0.417957469822604,-0.118744067664702,-0.379850395503321,5,-0.438609377434847
"PVRL2",NA,-1.18881998310761,0.439565197920588,-0.367891895682221,-0.637637683424491,4,-0.438696091073435
"A2M",-0.268423992164569,0.103007189120915,0.299867922485722,-1.47641369461702,-0.852625228842446,5,-0.43891756080348
"RP11-203B7.2",NA,-0.53212648913271,-1.17691719308748,-0.0816373959142238,0.0346710586096294,4,-0.439002504881196
"SLC30A4",-0.240890540392638,-1.15469007194591,-0.566712346229414,0.348016537228396,-0.58076850493885,5,-0.439008985255684
"ZNF568",-0.375764156455333,-0.800167433380396,-0.595667214883926,-1.21940004090121,0.795776219744268,5,-0.439044525175319
"LGALS3",0.257631705782124,0.317567922982906,-0.606210289636232,0.326594537793562,-2.49095088189704,5,-0.439073400994935
"LOC102724426 /// USP4",NA,-0.263985193363951,-0.749842943046617,-0.368546254127571,-0.373941360900446,4,-0.439078937859646
"RP11-464F9.20",NA,-0.24368477772437,-0.762193193956131,-0.765841508368908,0.0152607341623917,4,-0.439114686471754
"ZNF646",0.274361857448201,-1.0270969258584,-0.945529105162975,0.141152344379222,-0.63859028877897,5,-0.439140423594585
"TEX11",-0.0580058219733825,-0.962649034077988,-0.969678283000943,0.448452619231675,-0.654292006983379,5,-0.439234505360804
"JARID2",-0.121631237778265,-0.943457943797539,-0.359122020243906,0.154047982030188,-0.926914469778831,5,-0.439415537913671
"AIF1L",0.166805995441694,0.690658062662644,-1.47696337361254,-0.995145825197292,-0.582488375830607,5,-0.43942670330722
"LOC729966 /// PDE4C",NA,-1.86481976764747,-0.793224559967311,-0.470010946160636,1.37027860405142,4,-0.439444167430999
