"Gene","HR","HR_lower","HR_upper","p_value"
"AKNAD1",1.794,0.604,5.324,0.29265
"ZCCHC5",0.984,0.349,2.768,0.975008
"ATRIP",0.84,0.408,1.732,0.637408
"ZIC5",0.468,0.215,1.02,0.056253
"ANGPT1",1.469,0.718,3.004,0.292366
"TEDDM1",0.621,0.178,2.169,0.455742
"LOC149373",0.585,0.241,1.419,0.235839
"GABRG1",0.312,0.042,2.298,0.252628
"PANX2",0.693,0.171,2.812,0.60809
"ZNF114",0.881,0.449,1.729,0.712486
"CCDC27",0.817,0.391,1.708,0.591029
"CFAP161",0.418,0.105,1.659,0.21498
"LOC100652931",0.754,0.137,4.155,0.745795
"NEUROD2",0.757,0.213,2.684,0.666268
"C5orf17",1.03,0.637,1.664,0.905389
"LINC00208",0.761,0.302,1.916,0.561661
"DNAH6",0.168,0.018,1.552,0.115745
"LRRC15",1.456,0.996,2.128,0.052192
"CFAP46",0.2,0.038,1.057,0.058181
"B3GNT7",0.971,0.712,1.325,0.853475
"ZNF645",0.595,0.202,1.755,0.347094
"ZMYM6",0.63,0.245,1.624,0.339096
"SGCZ",1.741,0.46,6.591,0.414421
"LOC100507431",1.436,0.48,4.299,0.517694
"WNT9B",2.498,0.925,6.746,0.070876
"DNAJB13",1.01,0.342,2.984,0.985224
"CNPY3",1.007,0.632,1.604,0.97818
"SCAMP1",1.016,0.66,1.565,0.94084
"LINC00471",1.018,0.21,4.944,0.982018
"HAS3",0.575,0.388,0.85,0.005537
"FGF4",1.557,0.53,4.569,0.420347
"SLC30A8",1.082,0.287,4.085,0.907515
"LOC142937",0.963,0.466,1.99,0.917895
"LOC439933",0.536,0.068,4.253,0.554973
"C11orf65",2.081,0.585,7.4,0.257714
"FAM71E2",0.327,0.087,1.224,0.096976
"OR5P2",1.046,0.413,2.652,0.924372
"DYDC1",0.872,0.178,4.278,0.865697
"IL27",0.623,0.252,1.542,0.305824
"IQCF1",0.257,0.058,1.145,0.074682
"DEFB125",1.133,0.374,3.429,0.82566
"WFDC10B",0.592,0.28,1.252,0.169829
"DEFB105B",1.96,0.587,6.54,0.27385
"PKHD1",3.447,0.996,11.932,0.050741
"PKD1L1",2.74,0.415,18.104,0.295416
"ADGRG4",0.443,0.142,1.383,0.160918
"TENM1",0.692,0.173,2.764,0.602397
"REXO1L1P",1.234,0.532,2.86,0.624727
"TAF1L",2.178,1.076,4.408,0.030465
"CNTNAP5",0.863,0.204,3.646,0.841437
"RECQL4",0.634,0.385,1.043,0.072861
"ADGRF3",0.605,0.128,2.87,0.527083
"TMC2",1.59,0.522,4.844,0.414707
"SMCR5",0.616,0.242,1.573,0.311425
"BICD2",1.788,1.01,3.166,0.046174
"ZIM3",0.336,0.049,2.283,0.264491
"NOX5",0.664,0.21,2.1,0.48622
"DAOA-AS1",1.857,0.37,9.326,0.452407
"ADGRG6",0.954,0.593,1.536,0.846895
"KLHL4",0.8,0.181,3.539,0.769015
"GPR156",0.862,0.207,3.598,0.838657
"SUOX",1.084,0.626,1.877,0.772683
"ADGRF4",0.954,0.658,1.383,0.803972
"IL31RA",1.02,0.13,8.021,0.985288
"SYTL5",0.997,0.784,1.269,0.983223
"SDCCAG8",1.354,0.638,2.872,0.430097
"ADGRF2",0.669,0.177,2.533,0.554272
"SYN2",3.322,0.834,13.236,0.088649
"ASB10",0.191,0.036,1.009,0.051233
"HTR3C",0.498,0.199,1.251,0.138045
"NFKBID",1.598,0.525,4.86,0.40903
"CD300LF",1.099,0.792,1.524,0.573294
"GJA10",0.368,0.159,0.85,0.019175
"WNT9A",0.999,0.393,2.541,0.997883
"GAL3ST2",1.05,0.416,2.645,0.918307
"PIP4K2B",0.606,0.205,1.791,0.36508
"ODF3",0.915,0.313,2.671,0.870332
"WFDC13",0.635,0.177,2.277,0.485624
"LINC00521",0.185,0.036,0.94,0.041952
"SLFN5",1.146,0.798,1.645,0.461078
"SERPINB12",0.704,0.264,1.88,0.484071
"GIPC3",0.729,0.222,2.392,0.601486
"PGLYRP3",0.585,0.163,2.102,0.411647
"PSKH2",0.915,0.373,2.247,0.846261
"OR6W1P",0.698,0.287,1.697,0.427814
"MOGAT1",0.313,0.139,0.702,0.004803
"GPR78",1.655,0.841,3.255,0.144664
"H1FOO",0.523,0.219,1.246,0.143359
"TAAR9",0.67,0.234,1.916,0.454715
"GNRHR2",0.797,0.241,2.634,0.709963
"MYOZ3",0.721,0.216,2.404,0.594716
"BNIPL",1.343,0.295,6.109,0.70277
"ASB11",0.776,0.31,1.942,0.588668
"OFCC1",0.462,0.029,7.316,0.584038
"SDR9C7",0.682,0.183,2.539,0.567948
"OR5P3",0.452,0.146,1.405,0.169896
"TRIM40",0.672,0.391,1.155,0.150428
"CSN1S2AP",1.46,0.353,6.034,0.600776
"WFDC12",0.738,0.363,1.501,0.401116
"CRYGN",1.953,0.822,4.639,0.129523
"STARD6",3.747,1.19,11.797,0.023986
"C11orf40",1.168,0.336,4.062,0.807293
"C18orf12",1.915,0.71,5.17,0.199569
"BCL2L11",0.859,0.369,2.002,0.724709
"DEFB119",0.688,0.151,3.136,0.629048
"FLJ45513",0.564,0.245,1.3,0.179176
"TIGD1",0.897,0.635,1.268,0.538366
"ALKBH5",1.172,0.577,2.38,0.661326
"CCDC69",1.024,0.77,1.361,0.872563
"NFX1",0.926,0.414,2.069,0.851197
"DSG2",0.889,0.652,1.214,0.459609
"C5orf24",1.375,0.716,2.64,0.338965
"KBTBD6",1.088,0.746,1.588,0.661428
"CDK8",1.056,0.732,1.524,0.769329
"PTK6",0.924,0.672,1.271,0.62868
"NKD1",1.264,0.997,1.603,0.052588
"STK38",0.92,0.474,1.787,0.805577
"THEM4",1.015,0.608,1.694,0.954732
"CLSPN",0.305,0.081,1.15,0.079575
"RBAK",0.961,0.551,1.676,0.88919
"WDR62",1.219,0.574,2.59,0.606006
"SLC39A12",0.712,0.132,3.851,0.693612
"RNF168",0.705,0.304,1.638,0.417085
"SVEP1",2.438,0.483,12.308,0.280562
"LOC652276",1.117,0.434,2.874,0.818085
"GATA4",0.737,0.213,2.55,0.630131
"TC2N",0.858,0.614,1.199,0.370301
"C9orf72",1.064,0.602,1.881,0.831522
"KCTD18",0.671,0.32,1.406,0.290339
"KLF11",0.984,0.56,1.731,0.956553
"ANKLE1",1.473,0.619,3.506,0.3818
"PLXNA3",1.648,0.813,3.339,0.165906
"PELO",1.361,0.44,4.205,0.592599
"LACC1",1.155,0.732,1.824,0.535613
"TAPT1-AS1",1.051,0.741,1.492,0.779539
"C3orf30",1.68,0.495,5.696,0.405218
"RANBP3L",0.911,0.197,4.209,0.905045
"SNX13",0.896,0.551,1.456,0.656244
"KDM1B",0.853,0.597,1.22,0.385205
"ATP6V0D2",1.104,0.609,2.002,0.744248
"LHX4",0.175,0.043,0.717,0.015401
"CEP19",0.833,0.381,1.822,0.647078
"DNAH11",3.683,0.516,26.262,0.193381
"PROSER3",1.291,0.534,3.124,0.570689
"ADPRHL1",1.459,0.633,3.361,0.374819
"SYNRG",0.889,0.374,2.111,0.78892
"CDH24",0.19,0.059,0.611,0.005338
"SEPSECS",0.98,0.59,1.627,0.936901
"GRIK5",1.16,0.345,3.899,0.810702
"LRRN4",1.018,0.431,2.405,0.968415
"ZNF777",0.394,0.142,1.089,0.072662
"JPH2",1.048,0.503,2.184,0.900224
"PDE5A",1.315,0.596,2.901,0.4969
"SH2D1B",0.446,0.131,1.512,0.194666
"SSTR3",0.659,0.194,2.243,0.505076
"ADAMTS19",1.742,0.637,4.761,0.27958
"DDX31",0.472,0.198,1.128,0.091122
"UMODL1",1.284,0.796,2.07,0.305548
"RASEF",1.078,0.745,1.559,0.69047
"PARD3B",1.032,0.223,4.787,0.967872
"DST",1.751,0.858,3.571,0.123763
"ZNF441",0.781,0.233,2.617,0.689233
"NEGR1",1.561,1.017,2.397,0.041628
"FCRL3",0.756,0.359,1.594,0.462459
"DCAF4L2",2.035,0.308,13.457,0.461155
"STOX1",0.769,0.462,1.281,0.313727
"C20orf166-AS1",0.803,0.273,2.358,0.689229
"ARL10",2.697,0.789,9.217,0.113583
"RNFT2",0.844,0.477,1.493,0.560231
"ANKFN1",1.612,0.502,5.179,0.422815
"KRT78",1.015,0.219,4.715,0.984747
"CCDC7",5.808,1.152,29.278,0.03303
"ZNF41",0.913,0.4,2.083,0.828755
"ZNF512",1.242,0.856,1.802,0.253346
"AMMECR1",1.019,0.636,1.633,0.937893
"FAM117B",0.517,0.253,1.058,0.071083
"ZNF583",1.994,0.617,6.443,0.24889
"OXER1",0.364,0.12,1.104,0.07416
"LUZP1",1.147,0.444,2.96,0.777264
"ZNF75D",1.157,0.705,1.897,0.563688
"LINC00052",0.898,0.293,2.75,0.849937
"BRWD1",0.809,0.42,1.559,0.526705
"CCDC89",2.664,0.779,9.115,0.118439
"ZNF572",0.973,0.571,1.658,0.920285
"RMDN2",1.253,0.621,2.53,0.528897
"ADAMTS18",2.044,0.553,7.56,0.283774
"PCDHAC1",0.61,0.164,2.268,0.460356
