"Gene","HR","HR_lower","HR_upper","p_value"
"HIPK4",0.616,0.184,2.058,0.431241
"FAM124A",0.683,0.173,2.704,0.587297
"NKAIN3",0.604,0.18,2.033,0.415747
"ITIH5",1.297,0.933,1.803,0.122324
"FANCB",0.902,0.247,3.291,0.876182
"POMK",1.417,0.656,3.062,0.375084
"ZNF709",2.024,0.59,6.944,0.2623
"CCDC57",0.747,0.174,3.208,0.694815
"SMC1B",0.531,0.174,1.627,0.267987
"BRWD3",1.189,0.507,2.79,0.691086
"ASB16",0.77,0.318,1.864,0.56295
"MAGEE2",1.465,0.299,7.172,0.637692
"ERVV-1",0.614,0.156,2.42,0.485397
"GAL3ST3",2.06,0.605,7.015,0.247557
"FLJ30679",0.937,0.389,2.253,0.883693
"ALS2CR11",0.548,0.019,15.612,0.725185
"UTS2R",1.087,0.419,2.819,0.864562
"USH1G",1.134,0.431,2.987,0.798528
"SYN1",1.36,0.656,2.819,0.408568
"SLC23A3",0.443,0.186,1.053,0.065359
"CNOT6L",1.087,0.458,2.579,0.850122
"RHBDL3",1.142,0.251,5.2,0.864017
"ZNF718",0.983,0.303,3.195,0.977434
"DIP2B",1.627,0.759,3.49,0.2111
"SLC36A1",0.944,0.493,1.808,0.861203
"SNRNP48",0.769,0.488,1.212,0.257375
"ZNF560",0.407,0.075,2.218,0.298899
"RTTN",0.497,0.167,1.479,0.209227
"BTNL9",1.169,0.621,2.2,0.627815
"PUS10",0.895,0.419,1.913,0.774567
"PLCXD2",0.839,0.401,1.757,0.64237
"UMODL1-AS1",1.054,0.346,3.213,0.926628
"LMLN",0.755,0.374,1.525,0.433269
"RAD9B",1.079,0.206,5.655,0.928437
"ZNF555",0.533,0.1,2.846,0.461828
"NYAP1",1.063,0.355,3.181,0.913459
"SGK494",1.258,0.723,2.19,0.416498
"MRGPRX3",1.012,0.372,2.753,0.981526
"ABCA13",1.426,0.492,4.135,0.513547
"ADGRG7",0.924,0.789,1.083,0.328051
"CSF3R",0.95,0.612,1.472,0.817024
"C17orf77",0.776,0.492,1.225,0.276698
"DUSP5P1",0.92,0.472,1.796,0.807582
"DGKH",0.915,0.545,1.536,0.736808
"TMEM182",0.741,0.379,1.448,0.380235
"C16orf46",0.537,0.234,1.234,0.143067
"LSM14B",0.636,0.249,1.624,0.344049
"CASP8",0.602,0.328,1.103,0.100191
"PLB1",0.467,0.11,1.97,0.299616
"C20orf197",2.253,0.31,16.376,0.422165
"SLC5A3",1.234,0.739,2.059,0.42186
"KIF19",0.525,0.167,1.647,0.269227
"SLFNL1",0.284,0.054,1.495,0.137416
"GPR82",1.256,0.468,3.372,0.650693
"RIBC1",1.39,0.443,4.362,0.57237
"OXGR1",1.111,0.897,1.377,0.333935
"CDC14C",0.572,0.079,4.167,0.581532
"SULT1C4",1.251,0.922,1.698,0.150061
"TEAD1",1.766,0.901,3.46,0.097544
"LOC101930343",1.378,0.597,3.18,0.452266
"POU5F2",1.116,0.385,3.231,0.840327
"RXFP2",1.467,0.291,7.38,0.642339
"BEND7",0.865,0.373,2.008,0.736173
"SLC18A2",0.852,0.444,1.634,0.629851
"SSMEM1",1.327,0.172,10.266,0.786122
"MAB21L3",0.973,0.587,1.611,0.913875
"LOC285696",0.636,0.201,2.012,0.441395
"MIER3",0.812,0.58,1.138,0.227313
"SDE2",0.85,0.51,1.416,0.531911
"SLC35G4",0.364,0.144,0.918,0.032224
"UROC1",0.422,0.12,1.483,0.178627
"PCDH15",1.903,0.231,15.697,0.550264
"TNRC6A",1.238,0.528,2.902,0.622727
"KCNA6",0.994,0.385,2.568,0.990147
"ARID2",1.612,0.95,2.734,0.076719
"AMER3",0.835,0.254,2.746,0.766394
"OTUD7A",0.151,0.028,0.82,0.028488
"ERVW-1",0.731,0.187,2.849,0.651374
"LINC00889",8.907,2.249,35.275,0.001846
"FBXL18",0.363,0.107,1.232,0.104035
"LINC01600",1.3,0.495,3.413,0.59424
"PNPLA1",1.237,0.412,3.716,0.704465
"DEPDC4",0.386,0.056,2.667,0.334523
"ANKRD23",0.834,0.288,2.417,0.738583
"COX6B2",1.232,0.721,2.105,0.444715
"FAM129C",0.524,0.12,2.296,0.391359
"EPHA10",0.783,0.285,2.151,0.635472
"WDR64",1.097,0.34,3.544,0.877079
"PRO2949",0.467,0.077,2.834,0.407467
"BTBD9",0.756,0.183,3.119,0.699318
"HEATR9",0.644,0.18,2.311,0.499933
"PARP15",0.584,0.123,2.771,0.49803
"ARHGAP42",0.772,0.332,1.794,0.547354
"LINC01101",1.289,0.503,3.301,0.596926
"MFSD2A",0.776,0.425,1.417,0.408487
"ATM",0.749,0.329,1.703,0.489925
"FAM26D",0.942,0.326,2.72,0.912352
"NPHP3",1.57,0.98,2.515,0.060767
"ATG9B",1.293,0.685,2.441,0.428757
"CXorf58",1.578,0.45,5.529,0.475645
"LOC102724660",0.453,0.2,1.025,0.057417
"TFAP2B",1.018,0.259,4.007,0.979698
"CCDC13",1.075,0.368,3.138,0.894502
"MGC57346",0.419,0.13,1.344,0.143363
"MRGPRX1",0.347,0.076,1.589,0.172619
"HFE",0.762,0.345,1.684,0.501607
"RLN3",1.167,0.389,3.501,0.783172
"CSMD1",0.474,0.071,3.163,0.440633
"MACF1",1.795,0.972,3.316,0.061703
"ADAMTS20",0.555,0.084,3.679,0.541822
"SALL3",0.693,0.158,3.03,0.625975
"AGBL4",0.521,0.131,2.07,0.354386
"LCAL1",1.636,0.91,2.944,0.100233
"SLC17A8",0.615,0.157,2.409,0.485713
"C11orf44",1.553,0.586,4.114,0.376314
"SATB2-AS1",0.785,0.594,1.038,0.089194
"RBFOX1",1.011,0.492,2.079,0.975669
"SLFN13",1.045,0.753,1.45,0.792434
"C12orf40",0.329,0.054,2.004,0.227901
"CFAP57",0.738,0.264,2.062,0.562448
"C5orf64",1.74,0.6,5.042,0.307649
"ADAMTS15",1.116,0.721,1.726,0.623511
"LY86-AS1",2.089,0.312,13.99,0.447706
"FLJ31713",2.013,0.73,5.551,0.176625
"EDARADD",1.521,0.608,3.805,0.370234
"LOC101060424",0.663,0.214,2.055,0.476321
"CCDC171",0.12,0.007,2.111,0.14741
"CYP4Z2P",1.487,0.421,5.256,0.537839
"C18orf15",0.686,0.234,2.008,0.491328
"MUC19",1.536,0.594,3.972,0.376418
"KLHDC7A",1.515,0.577,3.979,0.399552
"C11orf72",1.135,0.468,2.752,0.779408
"AQP4-AS1",0.319,0.033,3.057,0.321646
"CNTNAP4",0.499,0.068,3.643,0.493322
"FER1L6-AS1",0.473,0.133,1.684,0.248108
"C1orf127",0.698,0.287,1.696,0.427567
"LOC100996634",1.661,0.568,4.86,0.354252
"AGBL1",0.613,0.233,1.608,0.31967
"FLJ34503",1.039,0.304,3.545,0.951703
"LINC00304",0.695,0.175,2.763,0.605421
"TERB1",0.719,0.257,2.008,0.529052
"MYO1H",0.993,0.347,2.839,0.989659
"ASB14",1.958,0.552,6.95,0.29847
"RPTN",2.257,1.033,4.931,0.041174
"LINC00269",0.746,0.228,2.443,0.628701
"VSTM4",2.961,1.26,6.96,0.012779
"CCDC150",0.619,0.256,1.496,0.286484
"C2orf61",0.515,0.225,1.177,0.115563
"FAM9B",1.474,0.233,9.344,0.680437
"FLJ40288",0.739,0.214,2.551,0.632145
"CES5A",2.479,0.816,7.531,0.109428
"CFAP47",0.831,0.278,2.485,0.740524
"FLJ32742",1.544,0.463,5.149,0.479628
"HYDIN2",0.58,0.14,2.408,0.453472
"DNAH17",0.494,0.149,1.637,0.248452
"SLC35G3",0.451,0.105,1.938,0.284077
"LOC150596",0.585,0.094,3.628,0.564521
"LOC100288966",0.206,0.032,1.311,0.094309
"KIRREL3-AS3",0.402,0.145,1.119,0.080944
"TMEM145",1.969,0.952,4.073,0.067638
"C15orf32",0.701,0.153,3.201,0.646276
"TSGA10IP",0.571,0.23,1.419,0.227751
"LINC00477",0.235,0.052,1.057,0.059068
"CCDC140",0.715,0.285,1.79,0.473216
"C17orf78",1.145,0.859,1.527,0.354741
"TEKT5",0.994,0.383,2.582,0.990799
"KSR2",0.943,0.357,2.486,0.904863
"PAX1",0.963,0.244,3.796,0.957525
"TDH",0.163,0.028,0.943,0.042858
"LINC00615",2.345,0.659,8.338,0.187912
"SERPINA9",1.118,0.494,2.529,0.788219
"FBXL21",1.181,0.156,8.911,0.871876
"PALM2-AKAP2",1.43,0.953,2.146,0.083809
"MRGPRX4",0.733,0.197,2.723,0.642524
"A2ML1",2.093,0.608,7.204,0.24145
"CPO",1.297,0.524,3.212,0.574234
"GPR6",0.22,0.06,0.807,0.02241
"MDS2",0.265,0.082,0.852,0.025783
"CNOT9",0.554,0.255,1.203,0.135393
"GJD3",1.221,0.539,2.765,0.632484
"HOXC12",1.654,0.782,3.497,0.187656
"VNN3",0.56,0.172,1.826,0.336717
"COPS9",1.37,0.468,4.006,0.565425
"FERD3L",1.114,0.462,2.684,0.810667
"DEFT1P2",0.733,0.226,2.371,0.603611
"LINC00314",0.927,0.201,4.263,0.92202
"DEFB104B",1.344,0.431,4.194,0.610778
"NLRP14",0.848,0.273,2.635,0.775932
"DGKB",0.962,0.423,2.188,0.925608
"NLRP13",0.459,0.204,1.037,0.061059
"NLRP8",0.357,0.138,0.925,0.033894
"NLRP9",0.546,0.206,1.446,0.223329
"TAF5",0.784,0.505,1.219,0.27992
"TAS1R2",1.435,0.484,4.251,0.514748
"ITGB1",2.504,1.046,5.995,0.039254
"PCSK6",1.123,0.459,2.749,0.799813
"ZNF341",0.377,0.15,0.951,0.038817
"JPH1",0.701,0.506,0.97,0.032112
"NLRP10",0.46,0.15,1.405,0.172742
"RANGAP1",0.891,0.566,1.403,0.618715
"MBNL2",1.134,0.75,1.715,0.549633
"KRT73",1.154,0.298,4.468,0.835278
"COX1",0.973,0.318,2.981,0.961802
"KRT74",0.838,0.29,2.423,0.74363
"SLC29A2",0.398,0.148,1.068,0.067387
"LMX1A",0.652,0.264,1.609,0.353148
"CCDC125",0.832,0.509,1.36,0.462574
"GPR101",0.942,0.418,2.122,0.885055
"ILDR1",0.729,0.433,1.227,0.234537
"VN1R2",1.103,0.329,3.704,0.87357
"VN1R5",1.14,0.392,3.314,0.810163
"ND2",1.895,0.718,5.004,0.196992
"TAAR8",1.122,0.374,3.364,0.837421
"TAS2R39",0.657,0.243,1.776,0.407445
"TAS2R38",0.872,0.285,2.668,0.810579
"TAS2R40",0.472,0.101,2.202,0.339498
"TAS2R41",1.013,0.325,3.159,0.982835
"TMEM171",0.744,0.556,0.996,0.047279
"VN1R4",1.191,0.391,3.627,0.758759
"TAS2R50",1.003,0.266,3.785,0.996302
"LOC100996919",1.142,0.484,2.697,0.762034
"MACROD2",1.545,0.78,3.06,0.211741
"DDAH1",0.801,0.387,1.656,0.549076
"PIANP",1.337,0.429,4.162,0.616493
"ATP6",1.51,0.582,3.916,0.396894
"HIST1H1T",0.458,0.142,1.473,0.190049
"COX2",2.447,0.435,13.767,0.310117
"CYGB",2.209,1.249,3.907,0.006466
"EFNA2",0.731,0.476,1.122,0.151244
"IFNE",1.086,0.525,2.248,0.82414
"ND6",1.088,0.815,1.453,0.568248
"SPAG11A",0.53,0.083,3.395,0.503074
"SREK1IP1",0.985,0.628,1.545,0.948207
"THRSP",1.121,0.604,2.08,0.718131
"CXorf36",1.375,0.586,3.226,0.46479
"MAGEA10-MAGEA5",1.326,0.921,1.91,0.129531
"FBXL19-AS1",0.731,0.281,1.901,0.520914
"POLE4",0.743,0.428,1.289,0.29044
"SH3KBP1",1.452,0.882,2.392,0.142835
"PDZK1IP1",0.952,0.78,1.162,0.629402
"FAM27E2",1.029,0.42,2.519,0.950372
"BCRP3",0.568,0.15,2.154,0.405701
"TAL2",0.73,0.297,1.791,0.491773
"INSL3",1.583,0.491,5.101,0.441908
"SYCP3",1.907,0.359,10.14,0.448896
"TMIE",0.455,0.136,1.524,0.201727
"MUCL1",1.247,0.957,1.626,0.102201
"ATL2",0.855,0.541,1.35,0.500633
"LINC00189",0.421,0.113,1.568,0.197034
"KLHL35",0.83,0.328,2.099,0.69355
"ZNF354B",1.642,0.776,3.477,0.194902
"FOXC1",1.154,0.859,1.55,0.341399
"LINC01198",0.964,0.25,3.722,0.957946
"TRIM43B",2.184,0.509,9.365,0.293046
"TRIM42",0.466,0.059,3.685,0.469219
"FSIP1",0.737,0.413,1.314,0.300632
"LOC84843",0.896,0.347,2.31,0.819897
"FAM98B",1.141,0.612,2.129,0.677642
"EFCAB13",0.654,0.099,4.312,0.658643
"FAM71B",0.887,0.25,3.143,0.852493
"C10orf107",1.453,0.305,6.923,0.639053
"LOC101929373",0.42,0.063,2.783,0.36825
"WEE2-AS1",1.5,0.516,4.36,0.456147
"TCTEX1D1",0.686,0.19,2.47,0.563993
"TMCO5A",2.165,0.247,18.98,0.485465
"PPARGC1B",0.5,0.235,1.064,0.072199
"XKR6",1.14,0.409,3.175,0.802567
"TSGA13",0.967,0.44,2.128,0.934303
"C9orf163",0.868,0.326,2.309,0.776415
"SYNE3",1.156,0.654,2.042,0.617778
"CCDC141",3.456,0.634,18.833,0.151749
"HDX",2.812,1.277,6.192,0.010229
"CDYL2",2.878,1.664,4.978,0.000157
"C18orf54",1.04,0.406,2.662,0.934769
"SYT14",0.319,0.055,1.856,0.203642
"CDC20B",0.971,0.212,4.447,0.969801
"TECTB",0.568,0.185,1.746,0.323674
"VWA3A",1.354,0.581,3.157,0.482734
"LINC00896",0.598,0.21,1.703,0.335895
"HUS1B",0.491,0.124,1.951,0.312295
"NPB",0.821,0.367,1.837,0.631624
"CCDC34",0.594,0.33,1.07,0.08266
"LRCH3",2.555,0.953,6.851,0.06237
"INTS4",0.817,0.203,3.292,0.776554
"ENAH",0.907,0.542,1.517,0.709265
"STK35",0.45,0.176,1.155,0.096893
"LRRIQ3",1.064,0.363,3.124,0.909552
"KLC4",1.059,0.557,2.016,0.860411
"TIPRL",1.065,0.616,1.841,0.82153
"VKORC1L1",0.947,0.584,1.537,0.827025
"PRF1",0.981,0.716,1.343,0.903123
"FBXL14",1.425,0.605,3.359,0.417887
"PPIL6",0.561,0.143,2.208,0.408651
"SP1",1.269,0.636,2.534,0.498769
"C18orf25",0.709,0.313,1.608,0.410816
"METTL6",1.024,0.185,5.662,0.978492
"SGO1",0.619,0.34,1.127,0.116726
"B3GALNT2",0.612,0.267,1.401,0.245249
"CBR4",1.051,0.671,1.646,0.828119
"PIK3C2A",1.024,0.553,1.897,0.940079
"NLRX1",1.667,0.797,3.489,0.174701
"ZNF569",1.484,0.75,2.934,0.256658
"CCSAP",0.698,0.315,1.549,0.376907
"DUSP18",0.835,0.516,1.35,0.461281
"ZNF697",1.621,0.93,2.827,0.088547
"ZNF791",1.06,0.696,1.615,0.784679
"CHRM3",0.945,0.707,1.265,0.705797
"HTRA4",1.287,0.739,2.243,0.373228
"LINC00525",0.769,0.532,1.113,0.163571
"PRPF38A",0.754,0.462,1.232,0.260176
"FAM218A",3.412,1.038,11.213,0.043238
"RHEBL1",0.703,0.33,1.497,0.360435
"MCRIP2",0.584,0.378,0.904,0.015815
"KCTD7",2.693,1.048,6.921,0.039701
"ZNF548",1.513,0.77,2.973,0.229598
"AMER2",1.349,0.193,9.446,0.763117
"RNF152",1.011,0.201,5.079,0.989472
"ADGRG3",0.694,0.347,1.387,0.301497
"ZNF644",0.833,0.536,1.295,0.416263
"TBC1D32",0.939,0.532,1.659,0.828767
"B4GALNT3",1.065,0.586,1.935,0.836714
"LRRC43",0.628,0.213,1.852,0.398831
"CEP89",0.454,0.155,1.326,0.148799
"AK7",0.755,0.26,2.189,0.60436
"ZFC3H1",1.273,0.673,2.407,0.457294
"IRAK2",0.88,0.453,1.71,0.706409
"LINC00337",1.038,0.427,2.523,0.933963
"METTL21A",0.801,0.494,1.299,0.36835
"OTOGL",0.901,0.273,2.973,0.864566
"MGC16025",1.444,0.4,5.211,0.574942
"FAM76B",0.795,0.49,1.291,0.353603
"SPATA25",0.819,0.436,1.537,0.534192
"NXNL1",1.104,0.484,2.514,0.814396
"GLIS3-AS1",0.79,0.37,1.689,0.543244
"IQCG",0.79,0.43,1.454,0.449565
"MCM9",0.396,0.166,0.949,0.037849
"PRR14L",0.825,0.154,4.42,0.82197
"AJUBA",1.067,0.765,1.488,0.704057
"KLHL32",0.625,0.329,1.186,0.150213
"DCBLD1",1.101,0.716,1.692,0.660999
"SLAMF9",0.404,0.119,1.373,0.146599
"GK5",0.752,0.401,1.41,0.37456
"LOC152048",0.937,0.404,2.175,0.87945
"UBE2U",5.753,0.525,63.052,0.152015
"WBSCR27",0.766,0.472,1.242,0.27966
"LINC00638",2.243,0.801,6.279,0.124177
"ZC3HAV1L",1.113,0.688,1.8,0.661468
"RASGEF1B",0.899,0.266,3.04,0.863575
"C11orf45",1.12,0.553,2.265,0.753294
"C21orf58",0.657,0.181,2.39,0.523867
"KIAA1109",1.309,0.364,4.706,0.680173
"STOML3",0.667,0.204,2.183,0.503202
"LINC01105",0.359,0.05,2.561,0.306994
"FBXL13",6.311,1.666,23.908,0.006709
"FAM227B",2.548,0.4,16.238,0.322224
"DTD2",0.803,0.541,1.193,0.277946
"SOX3",0.448,0.116,1.735,0.245144
"SPATA32",1.086,0.381,3.095,0.877258
"C3orf49",1.015,0.364,2.831,0.977415
"NKX2-3",1.147,0.931,1.412,0.197801
"TMEM252",1.031,0.769,1.382,0.838598
"KIAA1524",0.655,0.408,1.052,0.080115
"FAM222A-AS1",0.711,0.295,1.713,0.447589
"TLE6",0.492,0.203,1.188,0.114714
"TCEANC",0.947,0.266,3.367,0.932786
"LOC102725315",0.413,0.109,1.571,0.194539
"HECTD4",0.682,0.136,3.409,0.640924
"RTP1",0.555,0.072,4.258,0.571139
"PRR35",0.537,0.199,1.451,0.220202
"NXPE1",0.909,0.763,1.084,0.288501
"CYP1B1-AS1",0.385,0.08,1.86,0.23522
"MAGEA2B",1.166,1.011,1.346,0.035482
"APOBEC3D",0.508,0.159,1.62,0.252208
"LINC00315",1.366,0.486,3.839,0.5538
"COL6A5",0.452,0.064,3.219,0.428145
"PGAM5",0.599,0.297,1.207,0.151658
"C4orf45",1.283,0.383,4.291,0.686051
"CCDC149",1.462,0.588,3.634,0.413618
"BEND2",0.925,0.204,4.204,0.920105
"C10orf67",0.497,0.144,1.715,0.268585
"SPERT",0.884,0.397,1.967,0.762862
"CCDC26",0.51,0.144,1.805,0.296357
"B3GALT5-AS1",0.783,0.331,1.851,0.577439
"SPIC",1.346,0.264,6.857,0.72074
"VPS13B",1.184,0.552,2.537,0.664508
"P2RY10",0.914,0.537,1.554,0.739302
"IGSF22",1.827,0.98,3.406,0.058045
"ZBTB3",0.663,0.318,1.383,0.273373
"TPH1",0.638,0.372,1.094,0.102657
"DCST1",1.229,0.532,2.839,0.629285
"TCP11L2",1.238,0.196,7.823,0.820774
"WDFY4",1.171,0.429,3.196,0.758124
"GPR26",1.17,0.3,4.564,0.820979
"KIAA0825",0.267,0.041,1.733,0.166458
"SESN3",1.045,0.596,1.833,0.87846
"CSNK1G2-AS1",0.93,0.352,2.451,0.882603
"NATD1",1.317,0.656,2.645,0.439238
"KLHL34",0.734,0.324,1.661,0.457709
"ZSCAN10",0.485,0.147,1.604,0.235519
"SAMD3",0.822,0.416,1.625,0.572581
"GOT1L1",0.044,0.007,0.28,0.000925
"C10orf91",1.368,0.624,3,0.433699
"LINC00504",0.806,0.248,2.62,0.719669
"ZNF99",2.529,0.292,21.895,0.399613
"CFAP65",0.331,0.068,1.625,0.173223
"SIGLECL1",2.661,0.712,9.948,0.145673
"LDHAL6A",1.323,0.462,3.794,0.60216
"MRGPRX2",0.601,0.232,1.553,0.29308
"NTN5",0.324,0.087,1.202,0.09208
"KLF17",0.75,0.266,2.119,0.587783
"CCDC105",0.986,0.47,2.066,0.969947
"CCDC122",1.053,0.666,1.663,0.826032
"C11orf42",0.842,0.325,2.185,0.724436
"DKFZp434L192",2.025,0.586,7,0.265099
"POM121L8P",0.204,0.053,0.778,0.019974
"ZNF486",1.028,0.363,2.906,0.958945
"FGD2",0.745,0.194,2.864,0.668675
"EXD1",1.71,0.366,7.992,0.495444
"SLF2",1.674,0.745,3.76,0.212231
"NBPF4",0.821,0.499,1.351,0.43708
"ZNF663P",1.075,0.467,2.472,0.865005
"LINC00955",0.933,0.325,2.68,0.897832
"LOC162137",1.349,0.56,3.252,0.504587
"C10orf126",0.566,0.075,4.25,0.580217
"PIKFYVE",2.393,0.868,6.596,0.091724
"LINC00479",1.877,0.873,4.038,0.10699
"C9orf62",0.751,0.283,1.989,0.564503
"C9orf84",1.017,0.156,6.631,0.985981
"SLC22A24",0.328,0.113,0.947,0.03928
"FMO9P",0.946,0.195,4.595,0.945409
"C7orf33",0.965,0.388,2.396,0.938563
"ELMOD2",1.02,0.346,3.006,0.971835
"ACER1",0.781,0.348,1.755,0.550226
"TAAR1",0.427,0.07,2.591,0.355201
"OSTCP1",0.539,0.109,2.653,0.44716
"LINC00305",0.579,0.128,2.618,0.477531
"BFSP2-AS1",2.305,0.418,12.728,0.338008
"STK32A",0.719,0.096,5.411,0.749042
"LRRC28",0.795,0.276,2.288,0.669918
"LOC171391",1.117,0.483,2.583,0.796048
"MIA2",0.968,0.298,3.144,0.957065
"GPHB5",0.782,0.239,2.561,0.68446
"DCD",1,0.448,2.231,0.999497
"EXOSC6",0.622,0.319,1.213,0.163673
"IQSEC3",1.107,0.232,5.28,0.898736
"ZDHHC19",0.464,0.146,1.474,0.192977
"ALG14",0.646,0.355,1.175,0.152521
"PPP1R21",1.139,0.731,1.774,0.565874
"TMEM237",0.741,0.478,1.148,0.179623
"ZNF564",0.758,0.416,1.381,0.364741
"B3GALT6",0.96,0.487,1.891,0.905435
"SNX21",1.118,0.638,1.958,0.696978
"RHOB",1.263,0.662,2.41,0.478281
"ADAT3",0.423,0.199,0.898,0.025132
"CEL",1.008,0.921,1.102,0.870719
"GATS",2.247,1.106,4.566,0.025183
"CBS",0.938,0.643,1.369,0.740421
"SPINK6",0.763,0.444,1.312,0.32777
"C22orf39",1.041,0.544,1.99,0.904165
"DPCD",0.794,0.514,1.226,0.29805
"CYP39A1",1.126,0.864,1.467,0.378906
"BORCS8",0.679,0.31,1.488,0.333385
"ZNF121",0.853,0.616,1.18,0.335933
"RAB7B",1.365,0.591,3.154,0.466189
"DTYMK",0.557,0.264,1.177,0.125229
"MAPKAPK5-AS1",0.547,0.241,1.246,0.15092
"BRICD5",1.133,0.549,2.335,0.735971
"LOC101928274",0.749,0.46,1.218,0.243848
"NBR2",1.149,0.62,2.129,0.65939
"MIR6800",0.863,0.59,1.262,0.447575
"NT5E",1.082,0.826,1.416,0.56889
"ASPHD1",1.41,1.003,1.983,0.048171
"DMRTC1B",0.845,0.301,2.367,0.748426
"TRIM37",0.598,0.349,1.025,0.061532
"ARHGEF28",0.858,0.466,1.579,0.622523
"LLGL2",0.938,0.618,1.423,0.763354
"OSMR",1.338,1.014,1.766,0.039783
"NDST1",1.426,0.577,3.527,0.442475
"RSPO2",1.947,0.571,6.646,0.287285
"CHD2",1.799,0.932,3.474,0.080122
"USB1",0.514,0.186,1.42,0.199478
"RILPL1",1.494,0.702,3.179,0.297659
"GPNMB",1.147,0.95,1.386,0.153265
"CEP57L1",0.103,0.019,0.561,0.008618
"BICD1",2.177,1.352,3.505,0.001375
"ZNF12",1.191,0.851,1.666,0.309021
"MYO10",1.374,0.772,2.444,0.279653
"SLC4A4",0.87,0.704,1.075,0.196812
"TTC37",0.967,0.675,1.386,0.855428
"ARSB",0.755,0.308,1.85,0.538947
"FRMD4A",1.76,0.845,3.666,0.130863
"ZBTB24",0.455,0.232,0.892,0.021841
"LARP1B",0.889,0.45,1.759,0.735619
"C14orf159",1.081,0.549,2.128,0.822367
"TMEM239",0.393,0.116,1.329,0.132974
"MRAP",2.415,0.58,10.067,0.225959
"ZNF24",1.164,0.554,2.445,0.689072
"TXNDC9",0.789,0.498,1.25,0.311936
"DCAF8",1.376,0.464,4.077,0.565016
"SMPDL3B",0.505,0.311,0.819,0.005587
"CNOT1",0.46,0.251,0.844,0.012084
"SPTLC1",0.893,0.503,1.585,0.698228
"ASH1L-AS1",0.831,0.542,1.276,0.397449
"SETMAR",0.707,0.306,1.635,0.417689
"XG",1.014,0.464,2.217,0.97288
"ZHX1-C8orf76",0.79,0.469,1.332,0.377063
"MVB12B",0.534,0.173,1.645,0.274619
"C12orf66",0.99,0.633,1.547,0.963553
"EPHA8",0.667,0.241,1.848,0.435873
"DEUP1",9.335,0.447,195.01,0.14973
"TMEM136",1.109,0.406,3.033,0.839746
"TMEM53",0.698,0.4,1.218,0.206094
"DNAJA3",0.637,0.385,1.052,0.077883
"GALNT18",0.67,0.352,1.276,0.223511
"NOL9",1.007,0.538,1.885,0.982444
"DDX51",0.35,0.157,0.782,0.010433
"TUBGCP3",0.797,0.48,1.322,0.379181
"SBDSP1",1.288,0.758,2.19,0.349255
"SNAPC5",2.369,1.093,5.138,0.028912
"ENTPD5",0.737,0.523,1.04,0.082601
"RBM33",0.667,0.219,2.029,0.475779
"MIR31HG",1.329,0.93,1.9,0.118179
"SPIN3",1.386,0.924,2.08,0.114784
"TMTC4",0.948,0.646,1.392,0.784626
"TMEM185A",1.02,0.479,2.172,0.958222
"NBEAL1",1.394,0.595,3.266,0.443821
"CDCP1",0.822,0.523,1.29,0.393215
"ULK2",1.149,0.667,1.979,0.617474
"SLC4A8",1.167,0.5,2.723,0.720224
"SSH2",0.741,0.115,4.763,0.752365
"C5orf58",0.353,0.067,1.872,0.221221
"PARP11",0.97,0.441,2.137,0.940669
"CCDC60",0.755,0.354,1.611,0.467185
"HSD17B12",0.472,0.172,1.299,0.146329
"NLGN4Y",3.732,1.167,11.933,0.026392
"MSRB3",1.306,0.991,1.721,0.058361
"ADIG",0.807,0.288,2.263,0.683922
"CCSER2",1.469,0.773,2.793,0.240569
"RUFY2",1.66,0.413,6.67,0.474785
"WDR78",0.829,0.495,1.39,0.477784
"SUGT1P3",1.445,0.578,3.614,0.43142
"MAATS1",0.803,0.173,3.718,0.77872
"SLC33A1",0.735,0.402,1.345,0.317961
"CLDND1",1.143,0.438,2.979,0.785211
"OGDH",0.831,0.421,1.643,0.595039
"PHF21A",1.491,0.537,4.138,0.443569
"GDAP2",1.532,0.846,2.775,0.159031
"MCPH1",1.411,0.7,2.845,0.336272
"WFDC8",0.745,0.185,2.999,0.678503
"ZMYND11",2.005,0.842,4.773,0.116196
"ZNF446",0.677,0.273,1.677,0.399286
"TWIST2",0.906,0.489,1.677,0.752684
"FAM53B",0.698,0.26,1.875,0.475453
"GOLGA7",1.208,0.71,2.056,0.486775
"MBLAC1",0.87,0.388,1.953,0.736476
"ZMYM3",1.11,0.489,2.523,0.802831
"CD300LB",0.984,0.362,2.676,0.974143
"C3orf33",0.503,0.233,1.088,0.081043
"ATP5S",0.697,0.32,1.517,0.362798
"FAM126B",0.989,0.676,1.445,0.953262
"LYNX1",1.245,0.337,4.594,0.742612
"SNX32",0.865,0.302,2.481,0.787291
"TRIM74",0.964,0.265,3.502,0.955363
"LOC554206",0.663,0.166,2.639,0.559346
"C11orf53",0.673,0.375,1.209,0.18531
"PLEKHS1",0.941,0.723,1.223,0.648221
"TRMT44",1.232,0.226,6.712,0.809016
"MANEA",0.866,0.558,1.344,0.520653
"C5orf46",0.962,0.741,1.249,0.77349
"IZUMO1",0.411,0.124,1.366,0.146847
"SH3YL1",0.734,0.44,1.222,0.234196
"PTPRO",1.142,0.808,1.614,0.452362
"GRIK1-AS1",0.767,0.29,2.026,0.592122
"ICA1L",2.151,0.459,10.085,0.331072
"TMLHE",0.992,0.526,1.872,0.981333
"MEI1",0.38,0.135,1.067,0.066218
