"Arm","k","C_train","C_test"
"Pathway",20,0.686604584527221,0.533562822719449
"Gene",30,0.844914040114613,0.55421686746988
"Pathway",30,0.722898758357211,0.598967297762478
"Gene",50,0.880372492836676,0.464716006884682
"Pathway",50,0.771728748806113,0.542168674698795
"Gene",2,0.697826086956522,0.489711934156379
"Pathway",2,0.59370709382151,0.58641975308642
"Gene",3,0.720480549199085,0.565843621399177
"Pathway",3,0.59370709382151,0.576131687242798
"Gene",5,0.732265446224256,0.547325102880658
"Pathway",5,0.604576659038902,0.606995884773663
"Gene",7,0.746567505720824,0.518518518518518
"Pathway",7,0.641189931350114,0.635802469135803
"Gene",10,0.750686498855835,0.477366255144033
"Pathway",10,0.646224256292906,0.666666666666667
"Gene",15,0.751601830663616,0.45679012345679
"Pathway",15,0.679061784897025,0.648148148148148
"Gene",20,0.767848970251716,0.493827160493827
"Pathway",20,0.687070938215103,0.641975308641975
"Gene",30,0.815446224256293,0.465020576131687
"Pathway",30,0.726887871853547,0.549382716049383
"Gene",50,0.883752860411899,0.465020576131687
"Pathway",50,0.74279176201373,0.623456790123457
"Gene",2,0.69453195319532,0.515991471215352
"Pathway",2,0.606773177317732,0.524520255863539
"Gene",3,0.746062106210621,0.475479744136461
"Pathway",3,0.607673267326733,0.513859275053305
"Gene",5,0.73987398739874,0.388059701492537
"Pathway",5,0.628487848784879,0.590618336886994
"Gene",7,0.743361836183618,0.358208955223881
"Pathway",7,0.634225922592259,0.609808102345416
"Gene",10,0.767664266426643,0.415778251599147
"Pathway",10,0.651215121512151,0.61407249466951
"Gene",15,0.778127812781278,0.415778251599147
"Pathway",15,0.698357335733573,0.569296375266525
"Gene",20,0.780490549054905,0.454157782515991
"Pathway",20,0.70049504950495,0.577825159914712
"Gene",30,0.79489198919892,0.456289978678038
"Pathway",30,0.729635463546355,0.528784648187633
"Gene",50,0.868474347434743,0.53091684434968
"Pathway",50,0.771377137713771,0.456289978678038
"Gene",2,0.676034985422741,0.574585635359116
"Pathway",2,0.597551020408163,0.552486187845304
"Gene",3,0.692594752186589,0.5451197053407
"Pathway",3,0.620874635568513,0.559852670349908
"Gene",5,0.720932944606414,0.451197053406998
"Pathway",5,0.624723032069971,0.535911602209945
"Gene",7,0.73667638483965,0.528545119705341
"Pathway",7,0.628454810495627,0.556169429097606
"Gene",10,0.734110787172012,0.489871086556169
"Pathway",10,0.673586005830904,0.550644567219153
"Gene",15,0.786588921282799,0.447513812154696
"Pathway",15,0.680233236151603,0.574585635359116
"Gene",20,0.795918367346939,0.465930018416206
"Pathway",20,0.706588921282799,0.550644567219153
"Gene",30,0.81131195335277,0.464088397790055
"Pathway",30,0.727230320699708,0.532228360957643
"Gene",50,0.855276967930029,0.401473296500921
"Pathway",50,0.765597667638484,0.60036832412523
"Gene",2,0.696071512585274,0.509090909090909
"Pathway",2,0.610679840037638,0.610909090909091
"Gene",3,0.70418725005881,0.527272727272727
"Pathway",3,0.608562691131499,0.609090909090909
"Gene",5,0.721359680075276,0.536363636363636
"Pathway",5,0.611856033874382,0.612727272727273
"Gene",7,0.745589273112209,0.527272727272727
"Pathway",7,0.60726887791108,0.609090909090909
"Gene",10,0.746647847565279,0.541818181818182
"Pathway",10,0.668430957421783,0.589090909090909
"Gene",15,0.757939308398024,0.609090909090909
"Pathway",15,0.710538696777229,0.665454545454545
"Gene",20,0.806633733239238,0.492727272727273
"Pathway",20,0.712891084450717,0.632727272727273
"Gene",30,0.838155728063985,0.525454545454546
"Pathway",30,0.724417784050812,0.647272727272727
"Gene",50,0.896847800517525,0.430909090909091
"Pathway",50,0.76899553046342,0.527272727272727
"Gene",2,0.665207618596948,0.532627865961199
"Pathway",2,0.615047911983911,0.536155202821869
"Gene",3,0.686028628889152,0.589065255731922
"Pathway",3,0.614456406009701,0.536155202821869
"Gene",5,0.701289483023779,0.557319223985891
"Pathway",5,0.629007452975275,0.523809523809524
"Gene",7,0.704720217674198,0.53968253968254
"Pathway",7,0.657044836152845,0.566137566137566
"Gene",10,0.725304625576718,0.587301587301587
