"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval"
"37892_at","turquoise",1,-0.0305830403497452,0.638045256163444,0.728469712863201,8.32702560798655e-41,0.249435662853683,9.70895233686481e-05,0.410477801286493,3.94856450703019e-11,-0.0380340827604928,0.558465877886015,-0.0470237222623666,0.46933703259506
"217428_s_at","turquoise",1,-0.0254024705282132,0.696006557404384,0.790593563361896,2.15048295136701e-52,0.340377498606698,6.79458352574023e-08,0.516255159208763,1.10899920233256e-17,0.0386452641506711,0.552156884946677,-0.16155097389501,0.0123887696700751
"223642_at","grey",0,-0.115402341024885,0.0749651791875396,0.0557170009556275,0.391160684086987,-0.0238314685304697,0.713957645244855,0.143894563510841,0.0261160064495869,0.0175007353422826,0.787808894641568,-0.176980840181253,0.00608061022890338
"206354_at","grey",0,0.0285260766450473,0.660821180192731,0.0541182639466498,0.404916768759675,-0.0572573910461761,0.378176982811623,0.150080380234854,0.0202768939377174,0.0336995713472964,0.604180175240883,-0.0319812995849963,0.622752819362183
"226654_at","grey",0,-0.0360949174170473,0.578710449029556,-0.28318353322973,8.73574149492596e-06,-0.121358211616958,0.0610344633602737,-0.371013368576265,3.25417568271597e-09,-0.0983545198608453,0.129461006889843,0.274680917135202,1.65229024263302e-05
"205625_s_at","grey",0,-0.0588172937544409,0.365301112500423,0.0975711692414516,0.132556528935715,0.00977696461897045,0.880481098512617,0.253084761776445,7.59955187596269e-05,0.0767411083067093,0.237240409577129,-0.123362606720676,0.0568553171246147
"223969_s_at","grey",0,-0.0662414907721163,0.307813739927094,-0.297432657637163,2.86248554054262e-06,-0.123274731279615,0.0570334442619992,-0.143231781625219,0.0268198965227094,0.187977558067349,0.00353558629967586,-0.0359215040931778,0.580537417391964
"219014_at","grey",0,-0.0179915320271044,0.782005478026593,-0.213686716416031,0.000885195753315663,-0.0444805648292884,0.493731153094881,0.0921761871123041,0.15544346293261,0.356389055929684,1.44507739781012e-08,-0.165678378636231,0.0102981843769327
"206561_s_at","grey",0,0.00396543217261707,0.951372803101803,-0.373324601938898,2.55340053989238e-09,-0.1111920392539,0.0862906172890737,-0.177664045635883,0.00588422132925566,0.180179670060974,0.0052091404062629,-0.0986524571473983,0.128298416710902
"209792_s_at","grey",0,0.10242845165126,0.114253460551648,0.182141515204163,0.00473184130768904,0.00351153812282113,0.95693308137411,0.151393678346271,0.0191944631774943,-0.0390642911849205,0.547851614913444,-0.235229849263914,0.000243388774317388
"231341_at","grey",0,-0.0421891312981376,0.516275194670681,0.00434654413730466,0.946705922559764,-0.0642470131995159,0.322638856315785,-0.162466002036974,0.0118955300097323,-0.110009659521511,0.089706894167706,0.274270085541201,1.7030598481166e-05
"1552767_a_at","grey",0,0.0270185641811469,0.677715265754794,0.130536801857077,0.0437890520612257,-0.000790495288532445,0.990300602095036,0.136214512433106,0.0353257802339857,0.0309163007652984,0.634386225806161,0.075092827030079,0.247495451557432
"211645_x_at","yellow",4,-0.0329311694356207,0.612455266149465,0.228537110809799,0.000368281239560654,0.148733734073012,0.021441370464355,0.593092499149345,4.25104643755649e-24,0.956282875588122,1.53184796340555e-128,-0.317021219849045,5.58524454287407e-07
"204855_at","grey",0,-0.0148902142385523,0.818866618874604,0.107488971247108,0.0973510581087383,-0.105173057025753,0.104822000383687,0.13573817463023,0.0359780506607296,0.0565098558542896,0.384444573136519,-0.152280527411055,0.018492223278225
"213880_at","grey",0,0.0114174341467545,0.860616391551101,-0.133599659330446,0.0390335394681685,-0.16022937893761,0.0131329226368442,-0.276081087694355,1.48981563719506e-05,-0.226472779495279,0.000417466732940859,0.293987652170785,3.76966062537872e-06
