"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"A_24_P98524",-0.183564522338828,-0.129990457951602,-0.624219601912794,0.533672853424477,0.999892187031336,-4.67386710627,"A_24_P98524","down","NS","GSE104645","PPP3CB"
"A_23_P8961",-0.153019341290321,-0.0353851682347247,-0.624148600994099,0.533719318318981,0.999892187031336,-4.67387664114553,"A_23_P8961","down","NS","GSE104645","IL7"
"A_23_P141055",0.0998035090630894,-0.206438801496084,0.624102964486371,0.533749185159246,0.999892187031336,-4.67388276921044,"A_23_P141055","up","NS","GSE104645","TGFB1I1"
"A_23_P83289",-0.129714027516747,0.0510421154919884,-0.624090170701766,0.533757558212815,0.999892187031336,-4.67388448707884,"A_23_P83289","down","NS","GSE104645","CERCAM"
"A_23_P16615",0.229708576705365,0.666985355163991,0.623956962001133,0.533844742317671,0.999892187031336,-4.67390237143199,"A_23_P16615","up","NS","GSE104645","HNRNPM"
"A_23_P99853",-0.177656393783576,0.266030635620722,-0.623811783366116,0.533939768950407,0.999892187031336,-4.67392185854902,"A_23_P99853","down","NS","GSE104645","FAM214A"
"A_23_P148568",-0.143870622263256,-0.115285712680923,-0.623782678953479,0.533958820276047,0.999892187031336,-4.67392576465265,"A_23_P148568","down","NS","GSE104645","NXF2"
"A_23_P144778",-0.176962475199109,0.198965024941186,-0.623708672321827,0.5340072655077,0.999892187031336,-4.67393569627238,"A_23_P144778","down","NS","GSE104645","CKMT2"
"A_23_P147479",0.136894037352271,0.0466196878665518,0.62370247792668,0.534011320501762,0.999892187031336,-4.6739365275015,"A_23_P147479","up","NS","GSE104645","DNAJC6"
"A_23_P253982",-0.087701463730562,0.0202127408987391,-0.623660768799046,0.534038624669539,0.999892187031336,-4.6739421242587,"A_23_P253982","down","NS","GSE104645","HOXA4"
"A_23_P430068",-0.102879211455221,0.0579858668303704,-0.623606768076454,0.534073976380377,0.999892187031336,-4.67394936981931,"A_23_P430068","down","NS","GSE104645","PDPN"
"A_24_P340286",-0.100813389194473,0.121275392075589,-0.623602867597976,0.534076529884902,0.999892187031336,-4.67394989314299,"A_24_P340286","down","NS","GSE104645","CHADL"
"A_23_P113471",0.118732326977621,0.0532211644689169,0.623578662860208,0.534092376005356,0.999892187031336,-4.67395314059844,"A_23_P113471","up","NS","GSE104645","FAAH2"
"A_23_P256391",0.104531340161774,-0.123573082934725,0.623568683687376,0.534098909142391,0.999892187031336,-4.67395447942894,"A_23_P256391","up","NS","GSE104645","GOLGA4"
"A_24_P916256",0.113892567025823,-0.154448491852024,0.623494849263874,0.534147248126388,0.999892187031336,-4.67396438457979,"A_24_P916256","up","NS","GSE104645","KIAA1107"
"A_24_P98914",-0.156726844292751,0.196583841182473,-0.623466504806493,0.53416580567821,0.999892187031336,-4.67396818678174,"A_24_P98914","down","NS","GSE104645","PFKM"
"A_23_P86818",0.176811086986546,-0.00224541513109875,0.623307040244673,0.534270215720768,0.999892187031336,-4.67398957460357,"A_23_P86818","up","NS","GSE104645","PEX16"
"A_23_P395054",0.104188347807347,-0.251069776923252,0.623274368496716,0.534291608962514,0.999892187031336,-4.67399395596001,"A_23_P395054","up","NS","GSE104645","ANXA8L1"
"A_24_P288323",-0.146925913482655,-0.123215499755188,-0.623211249380125,0.534332940177395,0.999892187031336,-4.6740024197356,"A_24_P288323","down","NS","GSE104645","DPP9"
"A_24_P788227",-0.11789289610367,-0.0216446118584854,-0.623117021326254,0.534394644967951,0.999892187031336,-4.67401505339771,"A_24_P788227","down","NS","GSE104645","LINC01296"
"A_23_P26799",-0.213347798748757,0.00805102105529017,-0.622936795105893,0.5345126753899,0.999892187031336,-4.67403921203708,"A_23_P26799","down","NS","GSE104645","MPDU1"
