"Gene","Module","ModuleLabel","GS_resistant","GS_pval","MM_ME1","MM_ME1_pval","MM_ME3","MM_ME3_pval","MM_ME2","MM_ME2_pval","MM_ME4","MM_ME4_pval","MM_ME0","MM_ME0_pval","HubScore"
"216542_x_at","yellow",4,-0.0564448156229618,0.384992862051914,0.169228783205176,0.00875613354373209,0.121513476963039,0.0607019486997411,0.527667345590038,1.55939261923625e-18,0.929913734906589,6.15350827704923e-105,-0.350627825662925,2.5475352300286e-08,0.0524888093120622
"216491_x_at","yellow",4,-0.0530098941367847,0.414620060209777,0.214927938441767,0.000824440942288505,0.11953400991082,0.0650546064591514,0.58569928634904,2.09457680122725e-23,0.953170223858667,4.40882114798923e-125,-0.346444679029503,3.81800038779507e-08,0.0505274526610833
"1567628_at","blue",2,-0.148165384423579,0.0219499376620126,0.481826613330913,2.69271732722882e-15,0.24769656706586,0.000108971775801242,0.817563213879827,9.81791172030828e-59,0.475407266184351,7.01499268143678e-15,-0.454232064206073,1.4376207038603e-13,0.121134567875081
"229391_s_at","blue",2,-0.143547214217639,0.0264828952078702,0.371887919253592,2.96951510137093e-09,0.188687481184494,0.00341049435914139,0.811496206569246,3.21181506895414e-57,0.601514511823005,6.56908186095556e-25,-0.360787752236565,9.30169146269864e-09,0.116488019801197
"211991_s_at","blue",2,-0.126969756924939,0.0499308717619965,0.531172616920973,8.40937844201767e-19,0.348279205574821,3.19956695976623e-08,0.901548600796818,3.38630295088308e-88,0.581361759557952,5.23940266562928e-23,-0.472856228207533,1.02065573614165e-14,0.114469406699191
"214181_x_at","blue",2,-0.132870665474469,0.0401239579768068,0.5827458497879,3.91622250024881e-23,0.367280373509787,4.79521534816442e-09,0.848625240923334,1.74830124363102e-67,0.473683753563518,9.04066471793455e-15,-0.5147547096174,1.42753056716913e-17,0.112757400499915
"201720_s_at","blue",2,-0.120525547554996,0.0628433602858057,0.681253377367695,5.95057134561045e-34,0.369977430189593,3.62559839614712e-09,0.9206677279589,8.38651274749783e-99,0.459044936013556,7.36937156541005e-14,-0.419228306850447,1.36883905732612e-11,0.110963982028461
"214560_at","blue",2,-0.133865575672014,0.0386420608227984,0.531788644883958,7.53891622353817e-19,0.236477007802229,0.000225013066130935,0.817656007092594,9.29854388644881e-59,0.382824384635774,9.23486593444435e-10,-0.371282711737018,3.1638055258967e-09,0.10945599209113
"211582_x_at","blue",2,-0.13238996984982,0.0408569324545351,0.53269053136437,6.42182351976572e-19,0.312893004199441,7.95961574062825e-07,0.820755643834783,1.48638312230549e-59,0.46596224208594,2.76860565265544e-14,-0.512290847734689,2.15515419716739e-17,0.108659814941357
"221724_s_at","blue",2,-0.133457145251593,0.0392447209739663,0.506651435989722,5.46430505797348e-17,0.202051367860105,0.00169116400573509,0.797347276781957,6.84670619447047e-54,0.388927052654983,4.72192016593439e-10,-0.314340791600343,7.03395650981807e-07,0.106411691333452
"219385_at","blue",2,-0.122199887490711,0.0592497641297102,0.62536026150779,2.43200600662128e-27,0.286963722655592,6.53579657731333e-06,0.868923580542299,2.42548161959223e-74,0.404253096719915,8.23572636510071e-11,-0.435197070621982,1.82712185363193e-12,0.106182363780295
"209671_x_at","blue",2,-0.138073723101851,0.0328749963843199,0.335470384904403,1.07337209868933e-07,0.195297517485778,0.00242414030229734,0.761409592493965,1.6501076097664e-46,0.629980725260446,7.76728022230439e-28,-0.442004623436262,7.49491804142146e-13,0.105130657241105
"213915_at","blue",2,-0.142187828148975,0.0279615996313913,0.222121742807165,0.00054172307552606,0.0972575124738809,0.133811838571619,0.735948092129173,5.02368347616515e-42,0.517307280896974,9.28363498448662e-18,-0.525772504155598,2.17091706152262e-18,0.104642860850229
"203932_at","blue",2,-0.117190188338683,0.070535820570476,0.477420480960838,5.20653988453547e-15,0.276291964653596,1.46669844203437e-05,0.876767399032549,2.63513062403488e-77,0.514878906469836,1.39807190784781e-17,-0.458438445591118,8.02145068689233e-14,0.102748536621842
"222218_s_at","blue",2,-0.1257750297883,0.05214204500232,0.639197210018278,7.51900565485277e-29,0.345883946325538,4.02898231963317e-08,0.812688041667638,1.63512397267687e-57,0.305327566197271,1.50269238561713e-06,-0.399959148056314,1.35555840247332e-10,0.102215862649343
"210152_at","blue",2,-0.135984203949814,0.0356398888832569,0.480291763856853,3.39163534356802e-15,0.19612836613671,0.0023205379702646,0.745691084401576,1.11839181132818e-43,0.313823827804462,7.35198016053659e-07,-0.413813866869801,2.64607860234648e-11,0.101402208504822
"205291_at","blue",2,-0.131548762329924,0.0421667526317312,0.325312520705965,2.69769770792561e-07,0.139441097225812,0.0311662154870816,0.767399972930691,1.20299059247438e-47,0.581091197832858,5.54527465609295e-23,-0.405726885858611,6.92958012662358e-11,0.10095051665105
"223922_x_at","blue",2,-0.116883486933477,0.0712801363919558,0.546011262198007,5.67896417076633e-20,0.395350481147942,2.29601505711362e-10,0.863222554870475,2.63908447243694e-72,0.541465423561685,1.31524637830092e-19,-0.363884915083311,6.79352387896806e-09,0.100896462212886
"204923_at","blue",2,-0.125977201779804,0.0517622495353882,0.412032298810552,3.27850571524161e-11,0.30413093118139,1.65890218709258e-06,0.799640606529566,2.0613891582005e-54,0.589658182271165,8.96254316767842e-24,-0.497789490033177,2.27821023825757e-16,0.1007364860401
"208885_at","blue",2,-0.114537273787965,0.0771879931379977,0.528188470750779,1.42324642372508e-18,0.28926538188162,5.46617212370439e-06,0.878614671289364,4.93443378790766e-78,0.583427069485276,3.391779021262e-23,-0.391488957224644,3.5484024079272e-10,0.100634129159592
"211656_x_at","blue",2,-0.119995497981253,0.0640176257815155,0.487788081307362,1.08678274497887e-15,0.264513773255685,3.44506650610799e-05,0.831222112445707,2.31891703327317e-62,0.505605701037781,6.48101547166129e-17,-0.435445517690533,1.76927288574206e-12,0.0997429113159516
"217362_x_at","blue",2,-0.126409134045218,0.0509585344590131,0.430544147594088,3.32166728097849e-12,0.298354622744952,2.6575614726435e-06,0.787896022926616,8.22484223703449e-52,0.485517984315519,1.53850236529175e-15,-0.507622996742594,4.66074591878452e-17,0.0995972539758251
"204796_at","brown",3,0.175501691177977,0.0065260226549168,0.682110941385694,4.58795635898542e-34,0.77971967470327,4.26866005728524e-50,0.407152039886013,5.85917824902947e-11,0.151007561047398,0.0195073709272191,-0.127834864650677,0.0483789830723697,0.136842121555166
"204797_s_at","brown",3,0.173409436620495,0.00720584364895406,0.77176544478443,1.69719184731973e-48,0.771107880682305,2.2858687197015e-48,0.487439767920259,1.14650859807175e-15,0.192936362623915,0.00274193731977195,-0.181910570881252,0.00478590819527279,0.133717383162742
"235759_at","brown",3,0.138826383619934,0.0319248054622531,0.694668459767619,9.17039683007861e-36,0.894629798340186,6.9296297344931e-85,0.377644185458717,1.61452170868309e-09,0.0931900093423133,0.150929307204227,-0.151135659027484,0.0194030735853203,0.124198219582199
"1557961_s_at","brown",3,0.135336951793765,0.0365353529815918,0.679266508248318,1.08329870416474e-33,0.886536907917095,2.70724813834112e-81,0.366790166381312,5.04380726485981e-09,0.0698441402906582,0.282188021475632,-0.194731221673446,0.0024971463153163,0.11998120277017
